Month-Year	Number	Questions	Choice A	Choice B	Choice C	Choice D	Choice E	Answer
PM A 27	168	A network administrator is troubleshooting a network outage, and she believes the issue is related to a bad switch. The old switch is then replaced with a newer model and the cabling is moved to the new switch. Which of the following should be the NEXT troubleshooting step?	Test the theory	Verify full system functionality	Establish a plan of action	Identify the problem	Document the findings	B
PM A 28	169	A newly installed MFD provides an option to "scan to SMB." Which of the following would BEST describe this feature?	Print jobs can be sent from mobile devices	All scans are checked for malware	Files are stored on a Microsoft share	Documents are scanned from the cloud	N/A	C
PM A 29	170	What type of device connects multiple computers to the network, but becomes less efficient as network traffic increases?	Test the theory	Verify full system functionality	Establish a plan of action	Identify the problem	N/A	B
PM A 30	171	In which of the following would a Lightning cable MOST likely be used?	Connect a server to a display monitor	Increase the available memory of a device	Remotely control a mobile device	Charge a mobile device	N/A	D
PM A 31	172	A network administrator would like to enable DHCP on a laptop, but they would like the same IP address to be assigned to the laptop each time it starts. Which of the following would provide this functionality?	Create an IP reservation on the DHCP server	Administratively configure the laptop s MAC address	Use APIPA addressing	Assign the laptop to a static IP VLAN	N/A	A
PM A 32	173	A user is complaining about slow network performance from their workstation. A network technician checks the data closet and finds the wires are not properly seated in the 110 block. Which of the following should the technician use to correct this issue?	Crimper	Multimeter	Punch-down tool	Cable tester	N/A	C
PM A 33	174	A user has just connected to a new wireless network, but they cannot view any Internet web sites. Their network configuration shows the IP address as 169.254.228.109, the subnet mask is 255.255.0.0, and they have not been assigned a default gateway. Which of these is the MOST likely cause of this issue?	The subnet mask is not correct	The Internet provider is experiencing a temporary outage	The DHCP server is down	The wireless adapter is not working properly	N/A	C
PM A 34	175	A help desk technician needs to use different Windows versions to study for an industry certification exam. The technician currently uses a Windows desktop computer with 4 GB of RAM and a 750 GB free on the hard drive.Which of the following would be the BEST way to perform this task?	Install a second monitor	Install an additional hard drive	Create a Windows Recovery Environment boot drive	Upgrade the system RAM	N/A	D
PM A 35	176	While configuring a new workstation in the lab, one of the engineers recommends using 255.255.255.0. What part of the configuration is this associated with?	Default gateway	Subnet mask	DNS server	IP address	N/A	B
PM A 36	177	Which of the following BEST describes a Bluetooth network?	PAN	WAN	LAN	MAN	N/A	A
PM A 37	178	Sam, a user in the accounting department, is migrating from Android to iOS. She would like all of her emails, contact lists, and calendar events to be moved to her new phone. Which of the following would be the BEST way to accomplish this task?	Use a Windows-based migration tool	Save the Android phone data as a CSV file	Connect the new phone to the corporate Microsoft 365 service	Use a USB-to-Lightning cable	N/A	C
PM A 38	179	A user's smartphone shows a black screen and does not respond to any screen taps or button presses. A check of the SIM card shows a red label but no physical damage. Which of the following is the MOST likely reason for these issues?	Overheating	Digitizer failure	Liquid damage	Invalid SIM card	N/A	C
PM A 39	180	A server administrator has been asked to configure the storage requirements for a new database server. The database owner requires the fastest performance and redundancy if a single drive fails. The storage array should support at least 8 TB of available space. Which of the following options would be the BEST choice?	RAID 10 with 5,400 RPM, 8 TB drives	RAID 5 with 10,000 RPM, 5 TB drives	RAID 1 with 7,200 RPM, 8 TB drives	RAID 0 with 15,000 RPM, 5 TB drives	N/A	B
PM A 40	181	A user would like to access email from their Windows 10 laptop using a smartphone s Internet connection. Which of these technologies needs to be enabled on the laptop?	LTE	802.11	NFC	IR	N/A	B
PM A 41	182	A system administrator needs to upgrade a laptop from a hard drive to an SSD. Which of the following would provide the most efficient method of upgrading this system?	Create an image of the hard drive and restore to the SSD	Install a new Windows license and application files on the SSD	Backup all user documents and copy them to another computer	Compress the home directory and upload it to cloud storage	N/A	A
PM A 42	183	A new employee has been assigned a corporate smartphone, but the camera and the installation of third-party apps has been disabled. Which of the following is the MOST likely reason for these issues?	The smartphone is out of storage space	The smartphone OS needs to be upgraded	An MDM has disabled the features	The smartphone hardware is faulty	N/A	C
PM A 43	184	A system administrator is using a maintenance kit on a network-connected laser printer. Which of the following should be the LAST step when performing this maintenance?	Examine the feed rollers	Wait until the fuser unit cools down and replace it	Reset the page counter	Replace the power cord	N/A	C
PM A 44	185	An application developer needs to test an application across all of the operating systems used by the company. Each operating system will be tested individually in a lab environment. The company would like to minimize any additional hardware purchases for this project. Which of the following would be the BEST way to test this application?	Purchase a system that is configured just above the hardware requirements for the highest-end operating system. Create separate VMs for each operating system.	Purchase individual test computers that match the hardware requirements for each OS. Install different operating systems on each test computer.	Designate existing user workstations to be used as testing systems. Run all application tests during non-working hours.	Purchase a system that matches the minimum hardware requirements for the highest-end operating system. Create a system image for each operating system and reimage the computer between tests.	N/A	A
PM A 45	186	Which wireless standard can operate in the 5 GHz band and provides approximately 10 Gbit/sec of throughput?	802.11ac	802.11g	802.11ax	802.11n	N/A	C
PM A 46	187	A user in the manufacturing department reports that every page printed from the central networked laser printer has a single black line extending from the top of the page to the bottom. Which of the following is the MOST likely cause of this issue?	The fuser is damaged	The printer language is not properly configured	The photosensitive drum is damaged	The toner is low	N/A	C
PM A 47	188	Which mobile device connection is commonly used for making payments at a store checkout?	NFC	Infrared	Cellular	Bluetooth	N/A	A
PM A 48	189	A company hosts a cloud-based application which includes redundant servers located in different data centers around the world. Which of the following cloud computing characteristics would BEST describe this application design?	Rapid elasticity	High availability	Non-metered	Desktop as a Service	N/A	B
PM A 49	190	When printing a document on a laser printer, a user finds that all of the text on the page smears when touched. What is the MOST  likely cause of this issue?	Fuser is damaged	Toner cartridge is low	Photosensitive drum has been scratched	Incorrect printer driver is installed	Printer cleaning process is not working	A
PM A 50	191	A manager s computer is able to connect to Internet sites while in conference rooms or in the building courtyard. When the laptop is brought back to the manager s desk and placed into the docking station, the Internet access is unavailable but all other features are working. Which of the following should be the FIRST troubleshooting task for this issue?	Replace the docking station power supply	Upgrade the laptop BIOS	Replace the docking station	Check the docking station network cable	N/A	D
PM A 51	192	A company is developing an internal application for smartphones and tablets. Which of the following would improve the security of the application's logon process?	Data caps	Two-factor authentication	Bluetooth pairing	NFC	N/A	B
PM A 52	193	Which of the following would be MOST associated with an IoT device?	Multithreading	ARM	Virtualization support	ECC RAM	N/A	B
PM A 53	194	What is the minimum category of unshielded copper cable for a 10 gigabit per second Ethernet link with a fifteen meter distance?	Category 5	Category 6	Category 5e	Category 6A	N/A	B
PM A 54	195	An engineer has manually configured IP addresses for a small office that uses a cable modem for Internet connectivity. However, none of the devices configured with a manual IP address are able to browse Internet websites. All devices are connected to the  cable modem with twisted-pair Ethernet cables. This is the configuration of one device: IP address: 192.168.1.7 Subnet mask: 255.255.255.0 Default gateway: 192.168.1.1 DNS: 192.168.1.7  The engineer can successfully ping the local IP address and the default gateway address. Which of the following should be the NEXT troubleshooting step?	Check for duplicate IP addresses	Replace the Ethernet cable	Check the DNS configuration	Replace the cable modem	N/A	C
PM A 55	196	A user in a remote office is connecting a device using an F-connector. Which of the following would be MOST likely associated with this connection?	Cable modem	Switch	Punchdown block	DSL modem	N/A	A
PM A 56	197	A user in the accounting department has turned on their computer and received the message  Date and Time not set.  Which of the following would be the MOST likely reason for this message?	The motherboard battery has discharged	Windows update has rebooted the computer	Daylight Saving Time occurred during the weekend	The BIOS was just upgraded	N/A	A
PM A 57	198	A user in the accounting department is connecting to their monitor using HDMI. The video appears normal, but the user does not hear any audio through the monitor's speakers. Which of the following would be the MOST likely reasons for this audio issue?	Video output does not match the native resolution	Display has a dead pixel	Not enough bandwidth for audio	Internet connectivity is unavailable	OS is not configured for HDMI audio output	E
PM A 58	199	A system administrator has created a cloud configuration which automatically monitors utilization for usage-based billing. Which of the following describes this cloud computing characteristic?	Metered	File synchronization	Rapid elasticity	High availability	N/A	A
PM A 59	200	A group of wireless laptops in a conference room are reporting intermittent connectivity issues. The wired computers in the room are not experiencing any network problems. A check of the laptops shows that the IP addresses and configurations appear to be correct. Which of the following would be the best NEXT troubleshooting step?	Verify the wireless signal strength	Check the ARP table on the default gateway	Confirm the operation of the DHCP server	Perform a wire map on the network drops	N/A	A
PM A 60	201	A server administrator has been asked to troubleshoot a system that has been slowing down over time. While examining the computer, the administrator can hear a series of clicks from the inside of the case. Which of the following should be the FIRST step to address this issue?	Replace the motherboard	Power the system off and back on	Replace the hard drive	Perform a full backup of the server	N/A	D
PM A 61	202	When pressing the power button on a desktop computer, the power indicator lights up but the computer does not display any message on the screen. The voltage at the wall outlet has been checked and it appears to be normal. The motherboard power connector voltage was checked, and the 12 volt pin was showing 6 volts. What is the MOST likely cause of this issue?	The components that use 12 volt power are faulty	The power supply is faulty	The wall outlet voltage does not match the power supply	The motherboard is faulty	N/A	B
PM A 62	203	A manager in the marketing department is printing many copies of a twenty page document. The manager would like to print all twenty pages of the document before the next copy begins printing. What setting should the manager configure in the output settings?	Duplex	Collate	Quality	Orientation	N/A	B
PM A 63	204	A remote user is visiting their corporate office. They have connected their laptop to the wireless network, but the corporate Internet access is performing much slower than their remote site network. Which of the following would be the most likely reason for this issue?	The default gateway is incorrect	The laptop has been assigned an APIPA address	The user does not have permission to use the 100 wireless network	There is interference with the wireless signal	N/A	D
PM A 64	205	A manager needs to have access to the same files, contacts, and email messages across their MacBook, iPad, and iPhone devices. Which of the following would be the BEST way to provide this synchronization?	Authenticate to iCloud on all devices	Connect all devices to the MacBook using a Lightning cable	Copy all user documents to Google Workspace	Configure automatic updates in the App Store	N/A	A
PM A 65	206	A user is reporting that a shared laser printer in the marketing department is not printing from one particular application. The front panel of the printer shows that the printer is online and ready to receive print jobs. Other users in the department are able to successfully print to the printer. Which of the following would be the BEST next troubleshooting step?	Power cycle the printer	Restart the print spooler	Perform a test print from the printer console	Verify the network printer name in the application	N/A	D
PM A 66	207	A network administrator is connecting four company locations in different countries. Which of the following would BEST describe this configuration?	LAN	PAN	MAN	WAN	N/A	D
PM A 67	208	A system administrator has received a report of customers receiving email messages from the company, but upon further analysis the administrator finds the messages were not actually sent by the corporation. Which of the following should be implemented to prevent these spoofed email messages?	Add multi-factor authentication to all email logins	Change the passwords on all email accounts	Configure an SPF record in the DNS	Modify the firewall rules to prevent outgoing emails	N/A	C
PM A 68	209	A system administrator has configured a VM for dual processors, 16 GB of RAM, and 120 GB of disk space. Which of the following is required to start this VM?	Shared network address	Hypervisor	Virtual switch	Video display	N/A	B
PM A 69	210	A site manager has noticed her smartphone has a short battery life when used at work, and the battery life is normal when working from home. The work location has limited mobile service reception, but most office services are provided over the local 802.11 Wi-Fi network. The site manager does not enable Bluetooth on her smartphone. Which of the following would be the BEST way to extend the battery life of her mobile device?	Disable 802.11 Wi-Fi	Disable the cellular radio at work	Replace the battery	Enable Bluetooth on the mobile device	N/A	B
PM A 70	211	A desktop computer has just abruptly shut off, and pressing the power button doesn t restart the system. There are no fans spinning, no lights are on, and no messages appear on the display. Which of these would be the MOST likely cause of this issue?	The BIOS is configured with a startup password	The LCD display backlight has failed	The power supply is faulty	The master boot record is corrupted	The boot sector is missing	C
PM A 71	212	What kind of device is commonly used to filter traffic based on a predefined set of rules?	PoE switch	Repeater	DSL modem	Firewall	N/A	D
PM A 72	213	Which of these connection types use coax to provide Internet data, voice, and video over the same wire?	DSL	Cable broadband	ONT	PoE	N/A	B
PM A 73	214	A desktop administrator has been asked to troubleshoot a laptop computer that beeps during the power on process while the laptop screen remains dark. Which of the following would be the best NEXT troubleshooting step?	Implement a solution	Document findings	Establish a theory	Evaluate results	N/A	C
PM A 74	215	A user is pairing a Bluetooth headset to their smartphone. What type of security is used during the pairing process to authorize this connection?	802.1X	Client certificate	Pre-shared key	PIN	Username and password	D
PM A 75	216	A company is deploying cloud-hosted virtual desktops for training room classes. The VMs have already been configured in the cloud. Which of the following is required to access these VMs using thin clients in the training room?	High-end video cards	Separate Internet connection	Mouse, keyboard, and monitor	Category 6A cabling	N/A	C
PM A 76	217	A technician has connected a laptop to an LCD. The LCD is displaying the correct information, but all of the content appears to be fuzzy and difficult to read. Which of the following is the MOST likely reason for this issue?	The LCD display is faulty	The laptop display adapter is incompatible with the LCD display	The laptop resolution is incorrect	The LCD display cable is faulty	N/A	C
PM A 77	218	An engineering firm is upgrading their storage array to include additional drive space for documents and designs. The primary goal is to provide high performance and uptime, even if two drives were to fail. Which of the following would be the BEST choice for this firm?	RAID 1	RAID 5	RAID 0	RAID 10	N/A	D
PM A 78	219	A network administrator is deploying a firewall to the cloud using an API to configure the device. Which of the following would BEST describe this deployment type?	SDN	IaaS	LDAP	DKIM	VPN	A
PM A 79	220	A company needs to purchase a new printer for an open work area. The primary requirement of this printer is to be as quiet as possible. Which of these printer types would be the best fit for this requirement?	Dot-matrix	Inkjet	Laser	Thermal	N/A	D
PM A 80	221	A user in the marketing department would like to use a stylus to provide input through an external digitizer. Which of the following would be the BEST choice for this requirement?	LCD touchscreen	Port replicator	Wireless mouse	Drawing pad	N/A	D
PM A 81	222	A company has designed a platform to scale up when the application use increases during the day, and scale back down at night. Which of the following BEST describes this characteristic of cloud computing?	Resource pooling	Measured service	Hybrid	Rapid elasticity	N/A	D
PM A 82	223	A users tablet has stopped responding to any type of finger input on the screen. The clock and other tablet functions appear to be working. Which of the following would be the BEST way to correct this issue?	Replace the screen	Reset the wireless network	Connect to a power source	Restart the tablet	N/A	D
PM A 83	224	A system administrator needs a secure method of storing encryption keys. Which of the following would be the BEST choice for this requirement?	BIOS	Secure Boot	NTFS	HSM	N/A	D
PM A 84	225	A server administrator is upgrading the memory in a web server from 16 GB of non-ECC RAM to 64 GB of ECC RAM. After starting the system with the new memory, the computer beeps and nothing is displayed on the screen. Changing the number and location of new RAM modules results in the same beeping sounds and blank screen. After replacing the original 16 GB modules, the system starts normally. Which of the following is the MOST likely reason for this issue?	The new memory is not compatible with the motherboard	The new memory is faulty	The BIOS needs to be updated	The system is overheating during the startup process	N/A	A
PM A 85	226	A workstation has been assigned an APIPA address. Which of the following would be the MOST likely reason for this assignment?	The workstation is not connected to the wireless network	The DNS server is misconfigured	The network is using public Internet addresses	The DHCP server is down	N/A	D
PM A 86	227	Which of the following can be used to forward traffic based on a destination MAC address?	Unmanaged switch	Repeater	Router	Firewall	N/A	A
PM A 87	228	A system administrator made some BIOS changes to a desktop computer running Windows 10, and now this message appears when starting the computer:  This drive can only boot in UEFI mode. Which of the following would be the BEST next troubleshooting step?	Modify the boot drive sequence	Enable Secure Boot	Remove the BIOS password	Boot the system with the Windows setup media	N/A	B
PM A 88	229	A Windows user would like to temporarily store information from RAM onto their SSD. Which of the following features should be configured?	Multi-channel memory	ECC	System Protection	Virtual Memory	N/A	D
PM A 89	230	A technician is installing a DSL modem in a data center. Which of the following connectors would be used to connect the DSL modem to the Internet provider line?	RS-232	RJ11	BNC	F-connector	N/A	B
PM A 90	231	Which of the following would be the BEST choice for capturing an image from a printed page and saving it on a computer?	QR code reader	Optical drive	Flatbed scanner	Webcam	N/A	C
PM A 91	232	A network administrator is troubleshooting a network outage, and she believes the issue is related to a bad switch. The old switch is then replaced with a newer model and the cabling is moved to the new switch. Which of the following should be the FINAL troubleshooting step?	Test the theory	Verify full system functionality	Establish a plan of action	Identify the problem	Document the findings	E
PM A 21	233	A user needs to connect their laptop to the wired Ethernet network, but the laptop does not have an integrated Ethernet interface. Which of the following would allow the laptop to connect to an Ethernet network?	Docking station	VGA interface	Bluetooth	DisplayPort to HDMI cable	DVI to HDMI adapter	A
PM A 57	234	A user in the accounting department is connecting to their monitor using HDMI. The video appears normal, but the user does not hear any audio through the monitor's speakers. Which of the following would be the MOST likely reasons for this audio issue?	Video output does not match the native resolution	Audio controls are muted	Not enough bandwidth for audio	Internet connectivity is unavailable	Display has a dead pixel	B
PM B 6	235	A server administrator has four identical drives to install into a database server. Which of these RAID types would provide both redundancy and the most available storage space?	RAID 5	RAID 10	RAID 0	RAID 1	N/A	A
PM B 7	236	A user is attempting to charge their iPhone, but the charging icon does not appear when connecting the charging cable. A working cable from another iPhone exhibits the same symptoms. Which of the following is the MOST likely reason for this issue? 	The screen is locked	An iOS update is pending	The iPhone has low signal	The Lightning port is damaged	N/A	D
PM B 8	237	A user in the marketing department needs an LCD with the best possible color representation. Which of the following would be the BEST choice for this requirement?	TN	CCFL	IPS	VA	N/A	C
PM B 9	238	A company is receiving an increase in malware delivered to random employees through email attachments. Which of the following would be the BEST way to protect users against this malicious software?	Spam gateway	DHCP services	Syslog	VLANs	N/A	A
PM B 10	239	A user has reported their tablet is not able to retrieve or send mail, browse the Internet, or connect to video conferences. Apps on the device which do not require connectivity are working as expected. Which of these would be the MOST likely cause of this issue? 	Battery is very low	The Wi-Fi network is out of range	The touch screen needs calibration	The tablet is overheated	N/A	B
PM B 11	240	A PC technician has been asked to replace the LCD on a touch-screen laptop computer. Which of the following would be the MOST important component to test after this replacement?	Digitizer	Keyboard	Audio controls	System memory	N/A	A
PM B 13	241	Which of the following would be the BEST way to activate the screen of a smartphone without physically touching the display?	Trackpad	Port replicator	Smart card reader	Touch pen	N/A	D
PM B 14	242	A graphics designer is working on a computer that powers itself off after about an hour of work. The computer tends to power down when working on complex designs that require extensive CPU utilization. Which of the following would be the MOST likely reason for this issue?	The case fans are blocked	The hard drive is failing	The graphics software is corrupted	A device driver is outdated	N/A	A
PM B 15	243	Which of these services would be associated with a Windows file transfer?	LDAP	SMB	IMAP	SSH	N/A	B
PM B 16	244	A server administrator is configuring a new system for virtualization. Which of the following configurations would provide virtualization support on an Intel CPU?	Install a 64-bit operating system	Turn on HTT	Allocate a larger amount of storage space to the virtualization partition	Enable VT in the firmware	N/A	D
PM B 17	245	A user in the shipping department is printing a single page to your laser printer, but the output includes the printed page with three or four pages stuck together underneath it. Which of these would be the most likely cause of this issue? 	Duplexer	Transfer belt	Fuser assembly	Separation pad	N/A	D
PM B 18	246	A company is using a cloud-based service that provides a hardware platform and no additional software. Which of these would BEST describe this purchase?	SaaS	Hybrid	Metered	IaaS	N/A	D
PM B 19	247	While working at their desk, a laptop user would like to use a full-size keyboard and external mouse. They would also like to connect to a monitor and wired network without connecting and disconnecting cables each time they leave the desk. Which of these would be the BEST way to provide this functionality? 	Use separate desktop and laptop computers	Install a docking station at the user s desk	Use a wireless access point at the user s desk	Install a USB hub for the laptop	N/A	B
PM B 20	248	A server administrator needs to store gigabytes of server performance statistics for future analysis. The data needs to be always be available, even if a storage drive fails. Which of the following would be the BEST choice for this data? 	Optical drive	SD	RAID	CompactFlash	N/A	C
PM B 21	249	In which of the following would a cable with a DB-9 connector be used?	Attaching a mouse or keyboard to a desktop computer	Configuring a router	Connecting an external storage device	Attaching a video camera to a computer	N/A	B
PM B 22	250	A workstation administrator is configuring a new system for graphics designers, and the users have requested the fastest possible storage speed for reading and writing data. Which of the following would be the BEST choice for this requirement? 	10 TB NAS	8 TB HDD	5 TB SAN	2 TB SSD	N/A	D
PM B 23	251	A user has connected a new laptop to an LCD projector in a conference room. About thirty minutes into the presentation, the projector light turns off but the projector fans continue to run. Which of the following would be the MOST likely reason for this issue? 	Incorrect laptop cable	Poor projector airflow	Dead pixels	Incorrect resolution setting	N/A	B
PM B 24	252	A marketing manager is printing a document on the company letterhead stored in one of the printer trays. However, the output is instead printed from a tray containing plain paper. Which of the following would be the BEST way to resolve this issue? 	Select the duplex print option	Enable collated output	Modify the output tray in the print dialog	Change the output orientation	N/A	C
PM B 25	253	A system administrator has noticed that their cloud implementation supports multiple application instances during the busy workday, but only one application instance is available during the slower evening shifts. Which of the following would BEST describe this functionality? 	Metered utilization	Rapid elasticity	High availability	Shared resources	File synchronization	B
PM B 26	254	A security administrator would like to ensure that each login attempt from a smartphone is from someone physically located inside the corporate office. Which of the following would provide this functionality?	Serial interface	GPS	iCloud	Hotspot	N/A	B
PM B 27	255	A technician is connecting USB interfaces on a computer case to the motherboard. Which of the following would be commonly used for this connectivity?	PCIe	eSATA	TPM	Headers	N/A	D
PM B 28	256	A company is building an ARM-based IoT device for the consumer market. Which of the following would be an advantage of using the ARM architecture for this product?	Redundancy	High speed networking	Low power use	NAS	Load balancing	C
PM B 29	257	A manufacturing company uses a specialized printer which connects to a Windows computer over a USB connection. Which of the following would be the BEST way to allow all Windows devices in the company to send print jobs to this printer?	Connect using AirPrint	Configure Windows Printer Sharing	Use Print to File and copy the file to the printer	Copy the print jobs to a USB drive	N/A	B
PM B 30	258	Which of these would commonly be used to connect to an external storage device?	F-connector	ST	eSATA	Molex	N/A	C
PM B 31	259	A company has acquired computers that were previously part of a third-party lease. All of the computers prompt for a password when powering on the system before the operating system will load, but the password was not included with the computers. Which of the following would be the BEST way to resolve this issue? 	Replace the primary storage drive	Boot from the Windows installation media	Reset the BIOS using jumpers on the motherboard	Disconnect the power cable for ten minutes	N/A	C
PM B 32	260	A user has complained that a laptop will not charge the battery past 25% percent, and the laptop only operates for fifteen minutes when on battery power. The battery and the AC adapter have already been replaced. Which of the following components would be the MOST likely cause of this issue? 	Motherboard	Backlight inverter	802.11 adapter	CPU	N/A	A
PM B 33	261	A field engineer is working at a remote site that is under construction, but the site does not have an Ethernet or Wi-Fi Internet connection. Which of the following would be the BEST way to get access to the Internet at this location? 	Bluetooth	Hotspot	MAN	NFC	N/A	B
PM B 34	262	Which of the following would be the MOST likely reason the finishing function of a printer would punch two holes in a page instead of three?	The incorrect paper tray is selected	The print driver is not configured properly	The printer is low on toner	The connection between the computer and the printer is faulty	N/A	B
PM B 35	263	A technician is upgrading the RAM on a laptop computer. Which of the following would BEST describe the memory required for this upgrade?	SSD	SO-DIMM	CMOS	ECC	N/A	B
PM B 36	264	A hospital would like to use a hands-free authentication system based on the user's proximity to the computer. Which of the following technologies would be the BEST choice for this system?	NFC	5G	MDM	SSD	N/A	A
PM B 37	265	Daniel is building out a new floor of office space for his company. Which of the following cables would be the BEST choice to install in the active airspace above the drop ceiling?	Plenum-rated	Shielded twisted-pair	Coaxial	PVC jacketed twisted-pair	N/A	A
PM B 38	266	A developer is connecting a laptop to an LCD projector, but the projected image is flickering and occasionally part of the output will appear blocky and difficult to read. Which of the following should resolve this issue? 	Replace the projector's video cable	Turn the projector off and back on again	Update the laptop's video driver	Connect the laptop to a power source	N/A	A
PM B 39	267	A graphics designer needs to connect their macOS computer to a second monitor and an external storage drive. Which of the following interface types would provide this connectivity?	Lightning	DisplayPort	DVI-D	Thunderbolt	N/A	D
PM B 40	268	What cloud-based service provides hardware, but still requires the user to setup, configure, and manage the operating system and applications? 	SaaS	PaaS	IaaS	DaaS	N/A	C
PM B 41	269	Which of the following would be MOST associated with a SAN?	Bluetooth	RAID	APIPA	Cellular	N/A	B
PM B 42	270	A network administrator is using a laptop computer to configure a switch over a direct cable connection. Which of the following would BEST describe this connectivity?	Bluetooth	Thunderbolt	Serial	Lightning	N/A	C
PM B 43	271	A manager in the accounting department is complaining of slow performance on her computer. Initial troubleshooting shows low utilization of CPU and memory. A network speed test reports normal throughput to the local network devices. Which of the following would be the BEST next step for troubleshooting this issue?	Boot to Safe Mode	Upgrade the BIOS	Replace the memory modules	Perform a hard drive diagnostic	N/A	D
PM B 44	272	A server administrator has moved a database server from a lab to a data center. After installing the server in a data center rack, the system does not power on. None of the system lights are on, and the power supply and cooling fans do not spin up. Which of the following should be the FIRST troubleshooting step for this issue? 	Replace the power supply	Reseat all of the internal components	Check the power cable	Replace the motherboard	N/A	C
PM B 45	273	A user is traveling and has enabled airplane mode on their laptop, but they would still like to use their wireless headset. Which of these settings should be enabled to allow this functionality? 	Wi-Fi	USB	Bluetooth	Cellular	N/A	C
PM B 46	274	A user has submitted a job to a network printer, but the printer will not begin to print until the user has typed their PIN on the printer console. Which of the following would BEST describe this scenario? 	Badging	Secured prints	Active Directory	ADF	N/A	B
PM B 47	275	A system administrator has been asked to troubleshoot a non-operational print server. The printer displays an error code on the front panel and does not respond to any user input. The system administrator has created a list of four theories that might cause this particular error. Which of the following would be the best NEXT troubleshooting step?	Test each theory on a lab system	Document the theories in the company knowledgebase	Try different theories on the print server until the problem is resolved	Replace the print server device	N/A	A
PM B 48	276	Which of these devices sends incoming traffic to every other port on the device?	Router	Unmanaged switch	Cable modem	Hub	N/A	D
PM B 49	277	Which of these wireless standards was the first to introduce 54 Mbit/sec throughput on the 2.4 GHz band?	802.11g	802.11ac	802.11n	802.11b	N/A	A
PM B 50	278	An organization has implemented a cloud solution using a third-party data center. Access to the cloud service is available to anyone on the Internet. Which of the following describes this deployment model?	Hybrid	Public	Community	Private	N/A	B
PM B 51	279	What voltages would be commonly found on a motherboard's power supply connector?	120 V AC	12 V AC, 5 V AC, 3.3 V AC 	12 V DC, 5 V DC, 3.3 V DC 	120 V DC	N/A	C
PM B 52	280	A user is reporting this message on their Windows computer taskbar icon: "Limited or No connectivity." Which of the following would be the best NEXT troubleshooting step? 	Check the local IP address configuration	Restart the computer	Ping the default gateway	Check the switch VLAN configuration	Check for a duplicate IP address	A
PM B 53	281	What kind of device is installed into a computer and directly connects the computer to an Ethernet network?	NIC	Switch	Repeater	Bridge	N/A	A
PM B 54	282	A network administrator is planning to connect the network of two buildings together with a Category 6A cable. Ten Ethernet cables have been run from a wiring closet, through a conduit, and into a wiring closet on the other side. The network administrator needs to identify the ends of the cables so they can be properly terminated on each side. Which of the following should be used to complete this task? 	Cable stripper	Loopback plug	Tone generator	Crimper	N/A	C
PM B 55	283	A server administrator has configured a database server with a RAID 0 array containing four hard drives. An error notification from the RAID controller states that disk 3 has failed. Which of the following would be the BEST way to address this disk failure?	Replace the drive and re-mirror the array	Replace the drive and resynchronize the array	Replace the drive and restore from backup	Replace all drives and restore from backup	Replace all drives and resynchronize the array	C
PM B 56	284	A company is installing a new communications link using SC interfaces. Which of the following would BEST describe this connection?	Fiber optic	USB-C	10GBASE-T	M.2	N/A	A
PM B 57	285	A server administrator has replaced a bad hard drive in a RAID array and has verified the array is operating with full functionality. Which of the following would be the best NEXT troubleshooting step?	Run diagnostics on the bad hard drive	Replace the RAID controller	Create a list of optional troubleshooting steps	Document the drive replacement	N/A	D
PM B 58	286	An application developer is designing an app which uses three servers running simultaneously as VMs on her desktop. An upgrade to the application will add three additional servers to the list of running VMs. Which of these hardware resources will be the MOST important for this upgrade?	Video adapter	Network connection	RAM	CPU	N/A	C
PM B 59	287	A company has experienced a significant increase in printing costs over the last few months. Which of the following would provide the best way to track and manage these costs?	Audit logs	Print spooler uptime	Power usage monitor	Packet captures	N/A	A
PM B 60	288	A network engineer is troubleshooting an issue communicating to the Internet over a newly installed DSL connection. A laptop is connected to a DSL router over twisted pair copper. The IP configuration of the laptop is: IP address: 169.254.228.109 Subnet mask: 255.255.0.0 DNS: 9.9.9.9     Which of the following should be the NEXT troubleshooting step?	Reset the DSL modem	Modify the subnet mask	Change the DNS server address	Check the status of the DHCP server	N/A	D
PM B 61	289	A user in the accounting department has configured their mobile phone as a hotspot. Which of these would BEST describe this configuration?	Use the phone as a method of payment	Fast-charge the phone	Access the Internet through the phone	Connect to external speakers	N/A	C
PM B 62	290	A user has logged into their laptop using a fingerprint reader on the laptop's keyboard tray. Which of the following would BEST describe this technology?	NFC	GPS	Screen digitizer	Biometrics	N/A	D
PM B 63	291	An organization has recently implemented a browser-based email system that requires no additional software on the user devices. Which of the following would describe this type of application?	SaaS	IaaS	HaaS	PaaS	N/A	A
PM B 64	292	What type of power supply can operate across countries using different voltages?	High-voltage	Primary	Modular	Auto switching	N/A	D
PM B 65	293	A user is reporting after starting their desktop, they receive the message  Windows has detected an IP address conflict.  Which of the following would be the BEST way to resolve this issue? 	Replace the Ethernet patch cable	Enable DHCP on the workstation	Bounce the switch port	Reboot the default gateway	N/A	B
PM B 66	294	Each time a user logs in, they must type their password and a random number from a smartphone app. Which of the following would BEST describe this process? 	PRL update	Bluetooth pairing	NFC data transfer	Two-factor authentication	N/A	D
PM B 67	295	Which of the following would be used to terminate a copper Ethernet patch cable?	BNC	RS-232	RJ45	DB-9	N/A	C
